CrimeDate,CrimeTime,CrimeCode,Location,Description,Inside/Outside,Weapon,Post,District,Neighborhood,Longitude,Latitude,Location 1,Premise,crimeCaseNumber,Total Incidents
ordinal,ordinal,nominal,nominal,nominal,nominal,nominal,nominal,nominal,nominal,nominal,ratio,ratio,vector2,nominal,ratio,ratio
06/26/2018,7:30:00,6D,700 W CHERRY BLOSSOM WAY,LARCENY FROM AUTO,O,,122,CENTRAL,Poppleton,-76.62961,39.29313,"(39.29313, -76.62961)",STREET,,1
06/26/2018,7:00:00,6D,3900 MAINE AVE,LARCENY FROM AUTO,,,621,NORTHWESTERN,Central Forest Park,-76.68309,39.32625,"(39.32625, -76.68309)",,,1
06/26/2018,6:45:00,6C,6300 EASTERN AVE,LARCENY,I,,242,SOUTHEASTERN,Pulaski Industrial Area,-76.53982,39.28761,"(39.28761, -76.53982)",RETAIL/SMA,,1
06/26/2018,6:36:00,6J,2800 OAKLEY AVE,LARCENY,O,,532,NORTHERN,Cylburn,-76.66578,39.3489,"(39.3489, -76.66578)",STREET,,1
06/26/2018,6:30:00,6J,GREENE ST & W MULBERRY ST,LARCENY,,,121,CENTRAL,University Of Maryland,-76.62391,39.29376,"(39.29376, -76.62391)",,,1
06/26/2018,6:30:00,7A,3900 WEST BAY AV,AUTO THEFT,O,,913,SOUTHERN,Brooklyn,-76.59532,39.23025,"(39.23025, -76.59532)",STREET,,1
06/26/2018,6:00:00,3AF,100 N COLLINGTON AVE,ROBBERY - STREET,O,FIREARM,212,SOUTHEASTERN,Butcher's Hill,-76.58633,39.29302,"(39.29302, -76.58633)",STREET,,1
06/26/2018,5:45:00,5E,6000 HARFORD RD,BURGLARY,I,,424,NORTHEASTERN,Westfield,-76.55703,39.35746,"(39.35746, -76.55703)",BAR,,1
06/26/2018,5:30:00,4E,4400 GLENARM AVE,COMMON ASSAULT,I,,445,NORTHEASTERN,Cedmont,-76.53879,39.3443,"(39.3443, -76.53879)",ROW/TOWNHO,,1
06/26/2018,4:45:00,4B,500 PONTIAC AVE,AGG. ASSAULT,I,KNIFE,913,SOUTHERN,Brooklyn,-76.60372,39.23549,"(39.23549, -76.60372)",ROW/TOWNHO,,1
