CrimeDate,CrimeTime,CrimeCode,Location,Description,Inside/Outside,Weapon,Post,District,Neighborhood,Longitude,Latitude,Location 1,Premise,crimeCaseNumber,Total Incidents
ordinal,ordinal,nominal,nominal,nominal,nominal,nominal,nominal,nominal,nominal,ratio,ratio,vector2,nominal,ratio,ratio
06/29/2018,19:55:00,3D,900 W 36TH ST,ROBBERY - COMMERCIAL,I,,531,NORTHERN,Hampden,-76.63154,39.33117,"(39.33117, -76.63154)",CONVENIENC,,1
06/29/2018,19:55:00,4C,1200 WASHINGTON BLVD,AGG. ASSAULT,O,OTHER,932,SOUTHERN,Washington Village/Pigtow,-76.63466,39.28119,"(39.28119, -76.63466)",STREET,,1
06/29/2018,19:38:00,4B,1800 ORLEANS ST,AGG. ASSAULT,I,KNIFE,321,EASTERN,Dunbar-Broadway,-76.59129,39.29529,"(39.29529, -76.59129)",HOSP/NURS.,,1
06/29/2018,19:30:00,6G,5000 WINDSOR MILL RD,LARCENY,I,,821,SOUTHWESTERN,Wakefield,-76.70209,39.30967,"(39.30967, -76.70209)",APT/CONDO,,1
06/29/2018,19:30:00,7A,1200 SEMINOLE AVE,AUTO THEFT,O,,822,SOUTHWESTERN,Rognel Heights,-76.69122,39.30014,"(39.30014, -76.69122)",PARKING LO,,1
06/29/2018,19:00:00,6G,0 PARKIN ST,LARCENY,I,,931,SOUTHERN,Hollins Market,-76.63064,39.28748,"(39.28748, -76.63064)",ROW/TOWNHO,,1
06/29/2018,18:30:00,6D,CALVERT ST & E MT ROYAL AV,LARCENY FROM AUTO,O,,141,CENTRAL,Mid-Town Belvedere,-76.61343,39.30564,"(39.30564, -76.61343)",STREET,,1
06/29/2018,18:19:00,4E,AV & W 21ST ST,COMMON ASSAULT,O,,514,NORTHERN,Charles North,-76.61805,39.31317,"(39.31317, -76.61805)",STREET,,1
06/29/2018,18:10:00,6D,SARATOGA ST & N LIBERTY ST,LARCENY FROM AUTO,O,,111,CENTRAL,Downtown,-76.61647,39.293,"(39.293, -76.61647)",PLAYGROUND,,1
06/29/2018,18:00:00,6D,5200 PENNINGTON AVE,LARCENY FROM AUTO,O,,911,SOUTHERN,Curtis Bay,-76.58792,39.219,"(39.219, -76.58792)",PARKING LO,,1
